Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W1100X499,W1100X499,499.0,63500,1120.0,1120.0,,,,404.0,406.0,,,,26.2,25.4,12.7,45.0,44.4,,,,65.0,76.2,44.5,,,,,,4.5,,,38.0,,,12900.0,26500.0,23100.0,452.0,499.0,3870.0,2460.0,88.6,,,,31100.0,144000.0,,108000.0,491.0,,,4560.0,13200.0,,,,,,,,,,,,,,,,,108.0,1070.0,3350.0,,3760.0,2640.0,3050.0,965.0,140.0,
W,W1100X433,W1100X433,433.0,55100,1110.0,1110.0,,,,401.0,403.0,,,,22.0,22.2,11.1,40.1,39.7,,,,59.9,71.4,41.3,,,,,,5.02,,,45.0,,,11200.0,23100.0,20300.0,452.0,433.0,3360.0,2160.0,88.6,,,,21200.0,124000.0,,107000.0,433.0,,,4060.0,11500.0,,,,,,,,,,,,,,,,,107.0,1070.0,3330.0,,3730.0,2620.0,3020.0,965.0,140.0,
W,W1100X390,W1100X390,390.0,49800,1100.0,1100.0,,,,401.0,400.0,,,,19.9,20.6,11.1,36.1,36.5,,,,55.9,66.7,41.3,,,,,,5.57,,,49.6,,,10000.0,20800.0,18200.0,450.0,384.0,2980.0,1920.0,88.1,,,,15500.0,109000.0,,106000.0,386.0,,,3650.0,10300.0,,,,,,,,,,,,,,,,,106.0,1060.0,3330.0,,3730.0,2590.0,3000.0,965.0,140.0,
W,W1100X343,W1100X343,343.0,43700,1090.0,1090.0,,,,401.0,400.0,,,,18.0,17.5,9.52,31.0,31.8,,,,51.1,61.9,39.7,,,,,,6.45,,,54.8,,,8660.0,18000.0,15900.0,445.0,331.0,2570.0,1660.0,87.1,,,,10400.0,92900.0,,106000.0,330.0,,,3150.0,8960.0,,,,,,,,,,,,,,,,,105.0,1060.0,3300.0,,3710.0,2590.0,3000.0,965.0,140.0,
W,W1000X976,W1000X976,975.0,125000,1110.0,1110.0,,,,429.0,429.0,,,,50.0,50.8,25.4,89.9,90.5,,,,120.0,122.0,55.6,,,,,,2.39,,,17.3,,,23500.0,50500.0,42500.0,434.0,1190.0,8880.0,5570.0,98.0,,,,245000.0,309000.0,,109000.0,1050.0,,,8670.0,25100.0,,,,,,,,,,,,,,,,,120.0,1020.0,3350.0,,3780.0,2640.0,3070.0,864.0,191.0,
W,W1000X883,W1000X883,883.0,112000,1090.0,1090.0,,,,424.0,425.0,,,,45.5,46.0,23.8,82.0,82.6,,,,112.0,114.0,54.0,,,,,,2.58,,,19.1,,,21000.0,45200.0,38300.0,432.0,1050.0,7880.0,4950.0,96.5,,,,185000.0,268000.0,,107000.0,932.0,,,7850.0,22500.0,,,,,,,,,,,,,,,,,118.0,1010.0,3300.0,,3730.0,2620.0,3050.0,864.0,191.0,
W,W1000X748,W1000X748,748.0,95500,1070.0,1070.0,,,,417.0,416.0,,,,39.1,39.7,20.6,70.1,69.8,,,,100.0,102.0,50.8,,,,,,2.98,,,22.3,,,17300.0,38000.0,32400.0,427.0,849.0,6460.0,4080.0,94.5,,,,115000.0,212000.0,,104000.0,762.0,,,6600.0,18800.0,,,,,,,,,,,,,,,,,114.0,998.0,3280.0,,3680.0,2570.0,2970.0,864.0,191.0,
W,W1000X642,W1000X642,642.0,81900,1050.0,1050.0,,,,411.0,413.0,,,,34.0,33.3,17.5,59.9,60.3,,,,89.9,92.1,47.6,,,,,,3.44,,,25.5,,,14500.0,32100.0,27700.0,422.0,703.0,5370.0,3410.0,92.7,,,,73700.0,171000.0,,102000.0,629.0,,,5590.0,15900.0,,,,,,,,,,,,,,,,,112.0,988.0,3230.0,,3630.0,2510.0,2920.0,864.0,191.0,
W,W1000X591,W1000X591,591.0,75500,1040.0,1040.0,,,,409.0,410.0,,,,31.0,31.8,15.9,55.9,55.6,,,,85.9,88.9,46.0,,,,,,3.66,,,28.0,,,13300.0,29500.0,25600.0,422.0,641.0,4920.0,3130.0,92.5,,,,59100.0,155000.0,,101000.0,574.0,,,5210.0,14600.0,,,,,,,,,,,,,,,,,111.0,986.0,3200.0,,3610.0,2490.0,2900.0,864.0,191.0,
W,W1000X554,W1000X554,554.0,71000,1030.0,1030.0,,,,409.0,410.0,,,,29.5,30.2,15.9,52.1,52.4,,,,82.0,84.1,46.0,,,,,,3.93,,,29.5,,,12300.0,27500.0,23900.0,419.0,591.0,4540.0,2900.0,91.4,,,,48300.0,142000.0,,100000.0,533.0,,,4830.0,13600.0,,,,,,,,,,,,,,,,,110.0,980.0,3180.0,,3580.0,2470.0,2870.0,864.0,191.0,
